total_packet_rate,total_byte_rate,avg_packet_size,tcp_rate,syn_rate,ack_rate,syn_to_ack_ratio,unique_source_ips,label
11.5,1277.5,111.08695652173913,0.0,0.0,0.0,0.0,0,0
14.5,1399.5,96.51724137931035,0.0,0.0,0.0,0.0,0,0
9.0,805.5,89.5,0.0,0.0,0.0,0.0,0,0
4.5,560.0,124.44444444444444,0.0,0.0,0.0,0.0,0,0
5.5,947.5,172.27272727272728,0.0,0.0,0.0,0.0,0,0
21.0,6081.0,289.57142857142856,0.0,0.0,0.0,0.0,0,0
12.5,1937.5,155.0,0.0,0.0,0.0,0.0,0,0
13.5,1089.5,80.70370370370371,0.0,0.0,0.0,0.0,0,0
17.0,1459.5,85.8529411764706,0.0,0.0,0.0,0.0,0,0
17.5,2319.5,132.54285714285714,0.0,0.0,0.0,0.0,0,0
10.5,974.0,92.76190476190476,0.0,0.0,0.0,0.0,0,0
4.0,313.0,78.25,0.0,0.0,0.0,0.0,0,0
5.0,347.0,69.4,0.0,0.0,0.0,0.0,0,0
5.5,2323.5,422.45454545454544,0.0,0.0,0.0,0.0,0,0
2.0,1416.0,708.0,0.0,0.0,0.0,0.0,0,0
6.5,1157.0,178.0,0.0,0.0,0.0,0.0,0,0
26.0,2611.0,100.42307692307692,0.0,0.0,0.0,0.0,0,0
20.5,2669.0,130.1951219512195,6.0,2.0,5.0,0.39999996000000404,2,0
7.5,499.5,66.6,1.5,1.0,0.5,1.9999980000020001,2,0
8.0,837.0,104.625,1.5,1.0,0.5,1.9999980000020001,2,0
8.5,887.0,104.3529411764706,0.0,0.0,0.0,0.0,0,0
5.5,877.0,159.45454545454547,0.0,0.0,0.0,0.0,0,0
5.5,624.0,113.45454545454545,0.0,0.0,0.0,0.0,0,0
5.5,631.5,114.81818181818181,0.0,0.0,0.0,0.0,0,0
10.5,2229.5,212.33333333333334,0.0,0.0,0.0,0.0,0,0
10.0,723.0,72.3,0.0,0.0,0.0,0.0,0,0
27.5,2275.5,82.74545454545455,0.0,0.0,0.0,0.0,0,0
19.0,2602.0,136.94736842105263,6.0,2.0,5.0,0.39999996000000404,2,0
5.5,385.5,70.0909090909091,2.0,1.5,0.5,2.9999970000030003,2,0
6.0,616.5,102.75,1.0,0.5,0.5,0.9999990000010001,2,0
5.5,724.5,131.72727272727272,0.0,0.0,0.0,0.0,0,0
4.0,432.5,108.125,0.0,0.0,0.0,0.0,0,0
3.0,296.5,98.83333333333333,0.0,0.0,0.0,0.0,0,0
5.0,323.5,64.7,0.0,0.0,0.0,0.0,0,0
3.0,245.5,81.83333333333333,0.0,0.0,0.0,0.0,0,0
21.0,1677.0,79.85714285714286,0.0,0.0,0.0,0.0,0,0
14.0,2165.0,154.64285714285714,6.0,2.0,5.0,0.39999996000000404,2,0
5.5,424.0,77.0909090909091,1.5,1.0,0.5,1.9999980000020001,2,0
6.5,468.0,72.0,1.5,1.0,0.5,1.9999980000020001,2,0
6.5,459.5,70.6923076923077,0.0,0.0,0.0,0.0,0,0
5.5,468.5,85.18181818181819,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
22.5,1815.0,80.66666666666667,0.0,0.0,0.0,0.0,0,0
12.5,2027.0,162.16,6.0,2.0,5.0,0.39999996000000404,2,0
10.5,925.5,88.14285714285714,1.5,1.0,0.5,1.9999980000020001,2,0
8.0,574.0,71.75,1.5,1.0,0.5,1.9999980000020001,2,0
3.5,288.0,82.28571428571429,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
21.0,1822.5,86.78571428571429,0.0,0.0,0.0,0.0,0,0
55.0,5183.0,94.23636363636363,6.0,2.0,5.0,0.39999996000000404,2,0
7.5,512.0,68.26666666666667,2.0,1.5,0.5,2.9999970000030003,2,0
8.5,650.0,76.47058823529412,1.0,0.5,0.5,0.9999990000010001,2,0
6.5,484.0,74.46153846153847,0.0,0.0,0.0,0.0,0,0
2.5,223.0,89.2,0.0,0.0,0.0,0.0,0,0
3.0,266.0,88.66666666666667,0.0,0.0,0.0,0.0,0,0
23.5,1813.0,77.14893617021276,0.0,0.0,0.0,0.0,0,0
17.0,2354.0,138.47058823529412,6.0,2.0,5.0,0.39999996000000404,2,0
7.0,498.0,71.14285714285714,1.5,1.0,0.5,1.9999980000020001,2,0
4.5,270.0,60.0,1.5,1.0,0.5,1.9999980000020001,2,0
2.0,146.0,73.0,0.0,0.0,0.0,0.0,0,0
4.5,405.0,90.0,0.0,0.0,0.0,0.0,0,0
4.0,297.0,74.25,0.0,0.0,0.0,0.0,0,0
5.5,410.5,74.63636363636364,0.0,0.0,0.0,0.0,0,0
5.5,468.5,85.18181818181819,0.0,0.0,0.0,0.0,0,0
21.0,1679.0,79.95238095238095,0.0,0.0,0.0,0.0,0,0
14.0,2132.0,152.28571428571428,6.0,2.0,5.0,0.39999996000000404,2,0
4.5,353.0,78.44444444444444,1.5,1.0,0.5,1.9999980000020001,2,0
2.5,166.0,66.4,1.5,1.0,0.5,1.9999980000020001,2,0
5.0,310.0,62.0,0.0,0.0,0.0,0.0,0,0
8.5,699.0,82.23529411764706,0.0,0.0,0.0,0.0,0,0
10.0,1187.0,118.7,0.0,0.0,0.0,0.0,0,0
28.0,2751.5,98.26785714285714,0.0,0.0,0.0,0.0,0,0
14.5,2096.5,144.58620689655172,6.0,2.0,5.0,0.39999996000000404,2,0
6.5,445.5,68.53846153846153,1.5,1.0,0.5,1.9999980000020001,2,0
11.5,2184.0,189.91304347826087,1.5,1.0,0.5,1.9999980000020001,2,0
9.0,646.0,71.77777777777777,0.0,0.0,0.0,0.0,0,0
9.0,830.5,92.27777777777777,0.0,0.0,0.0,0.0,0,0
3.0,180.0,60.0,0.0,0.0,0.0,0.0,0,0
1.5,100.5,67.0,0.0,0.0,0.0,0.0,0,0
7.5,590.5,78.73333333333333,0.0,0.0,0.0,0.0,0,0
4.0,313.0,78.25,0.0,0.0,0.0,0.0,0,0
8.5,625.0,73.52941176470588,0.0,0.0,0.0,0.0,0,0
23.5,1863.0,79.27659574468085,0.5,0.5,0.0,1000000.0,1,0
12.0,1967.0,163.91666666666666,5.5,1.5,5.0,0.299999970000003,2,0
4.0,297.0,74.25,2.0,1.5,0.5,2.9999970000030003,2,0
9.0,618.0,68.66666666666667,1.0,0.5,0.5,0.9999990000010001,2,0
5.0,321.0,64.2,0.0,0.0,0.0,0.0,0,0
3.0,180.0,60.0,0.0,0.0,0.0,0.0,0,0
8.0,599.0,74.875,0.0,0.0,0.0,0.0,0,0
4.5,376.5,83.66666666666667,0.0,0.0,0.0,0.0,0,0
7.0,493.0,70.42857142857143,0.0,0.0,0.0,0.0,0,0
16.0,1218.5,76.15625,0.0,0.0,0.0,0.0,0,0
20.0,2599.0,129.95,6.0,2.0,5.0,0.39999996000000404,2,0
12.5,833.0,66.64,0.0,0.0,0.0,0.0,0,0
7.0,493.0,70.42857142857143,3.0,2.0,1.0,1.9999990000005,2,0
8.5,593.0,69.76470588235294,0.0,0.0,0.0,0.0,0,0
8.0,537.0,67.125,0.0,0.0,0.0,0.0,0,0
