total_packet_rate,total_byte_rate,avg_packet_size,udp_rate,udp_to_total_ratio,unique_source_ips,label
133.0,8811.0,66.24812030075188,66.5,0.5,4,1
130.0,8549.0,65.76153846153846,65.5,0.5038461538461538,4,1
135.0,9645.0,71.44444444444444,68.0,0.5037037037037037,4,1
127.0,8276.0,65.16535433070867,63.0,0.49606299212598426,3,1
134.5,8783.0,65.30111524163569,63.0,0.4684014869888476,8,1
146.0,9957.0,68.1986301369863,73.5,0.5034246575342466,4,1
138.5,11122.0,80.30324909747293,69.5,0.5018050541516246,5,1
139.0,10386.0,74.71942446043165,69.0,0.49640287769784175,5,1
138.0,10220.0,74.05797101449275,70.0,0.5072463768115942,5,1
134.5,9760.0,72.56505576208178,68.5,0.5092936802973977,4,1
129.5,8808.0,68.01544401544402,65.0,0.5019305019305019,4,1
139.0,9205.0,66.22302158273381,67.0,0.48201438848920863,9,1
135.5,8935.0,65.9409594095941,66.5,0.4907749077490775,6,1
127.5,8301.0,65.10588235294118,64.0,0.5019607843137255,3,1
127.5,8445.5,66.2392156862745,64.0,0.5019607843137255,3,1
130.0,8497.0,65.36153846153846,64.0,0.49230769230769234,5,1
137.5,9107.0,66.23272727272727,68.0,0.49454545454545457,5,1
133.5,8815.0,66.02996254681648,66.5,0.49812734082397003,5,1
133.0,8786.0,66.06015037593986,65.5,0.4924812030075188,8,1
135.0,8823.0,65.35555555555555,66.0,0.4888888888888889,5,1
131.5,8850.5,67.30418250950571,66.5,0.5057034220532319,4,1
131.0,8631.5,65.88931297709924,65.5,0.5,4,1
133.0,8711.5,65.5,66.0,0.49624060150375937,5,1
134.0,8835.0,65.93283582089552,67.0,0.5,5,1
126.0,8190.0,65.0,63.0,0.5,2,1
129.0,8370.0,64.88372093023256,63.0,0.4883720930232558,3,1
144.5,9557.0,66.13840830449827,69.5,0.4809688581314879,9,1
136.5,11202.0,82.06593406593407,67.5,0.4945054945054945,5,1
133.0,9433.0,70.92481203007519,67.0,0.5037593984962406,4,1
133.0,9433.0,70.92481203007519,67.0,0.5037593984962406,4,1
129.0,9081.0,70.3953488372093,65.0,0.5038759689922481,4,1
134.0,9169.0,68.42537313432835,67.5,0.503731343283582,4,1
133.0,8790.0,66.09022556390977,67.0,0.5037593984962406,4,1
136.0,8966.0,65.92647058823529,65.5,0.48161764705882354,9,1
